_info,unitPrice,skuId,meterId
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5",0.167439,DZH318Z0BPXL/003F,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_4",0.669756,DZH318Z0BPXL/00LX,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_16",2.679024,DZH318Z0BPXL/00FG,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_24",4.018536,DZH318Z0BPXL/00V0,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_20",3.34878,DZH318Z0BPXL/02KW,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_16",2.679024,DZH318Z0BPXL/00QR,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_4",0.669756,DZH318Z0BPXL/007V,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single Premium RS, PRS1 Secondary Active, PRS1 Secondary Active DTU, SQL Database, Databases, 1/Day, Consumption",3.75,DZH318Z0BQH0/00M6,ff4915fd-280d-4668-9265-d5ddb30b69cf
"SQL Database Single Standard, S0 Secondary Active, S0 Secondary Active DTUs, SQL Database, Databases, 1/Day, Consumption",0.4839,DZH318Z0BQHF/00LG,fed0286c-5505-4f37-b1ef-89edf04239ee
"SQL Database SingleDB Hyperscale - Storage, Backup - ZRS, Backup - ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.119,DZH318Z0BXWT/01K0,f6bafd14-777e-540c-9816-1ae028bf7361
"SQL Database - LTR Backup Storage, Backup RA-GRS, Backup RA-GRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0595,DZH318Z0BQFJ/003T,f459240c-8fe3-4c30-976a-d97c6e58f917
"SQL Database Single Standard, S2, S2 DTUs, SQL Database, Databases, 1/Day, Consumption",2.42,DZH318Z0BQHF/017X,f303a21a-05f1-4563-b2ad-7523eebc4058
"SQL Database Single Premium, P2 Secondary, P2 Secondary DTU, SQL Database, Databases, 1/Day, Consumption",22.5,DZH318Z0BQHC/0130,f0076a96-54c4-4254-9a42-a56fa2c086f5
"SQL Database Elastic Pool - Basic, 400 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",19.36,DZH318Z0BQHM/00BW,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 800 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",38.72,DZH318Z0BQHM/008V,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
