_info,unitPrice
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 14 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_14",2.812964
"Import/Export, Standard, Storage, Storage, 1, Consumption",80.0
"SQL Database Single Premium RS, PRS2, SQL Database, Databases, 1/Day, Consumption",7.5
"SQL Database Single/Elastic Pool Business Critical - Storage, Business Critical, SQL Database, Databases, 1M, Consumption",0.238
"Azure App Service Isolated v2 Plan, I5mv2, Azure App Service, Compute, 1 Hour, Reservation, I5mv2, 1 Year",67840.0
"Azure App Service Isolated v2 Plan, I5mv2, Azure App Service, Compute, 1 Hour, Reservation, I5mv2, 3 Years",152640.0
"Azure App Service Isolated v2 Plan, I5mv2, Azure App Service, Compute, 1 Hour, Consumption, I5mv2",11.113
"Files v2, Hot GRS, Storage, Storage, 1 GB/Month, Consumption",0.056
"Files v2, Cool GRS, Storage, Storage, 1 GB/Month, Consumption",0.056
"Azure Synapse SSIS Standard E-series v3 VM, E32 v3, Azure Synapse Analytics, Analytics, 1 Hour, Consumption",6.351
"Azure Cosmos DB - PITR, Backup, Azure Cosmos DB, Databases, 1 GB, Consumption",0.1
"Azure App Service Isolated Plan, I2, Azure App Service, Compute, 1 Hour, Consumption",0.6
"Azure Cosmos DB for MongoDB vCore, Backup Locally Redundant Storage, Azure Cosmos DB, Databases, 1 GB/Month, Consumption, Azure_Cosmos_DB_for_MongoDB_Backup_Locally_Redundant_Storage",0.103
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.018
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.0196
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.0188
"Azure Synapse SSIS Enterprise D-series v3 VM, D32 v3, Azure Synapse Analytics, Analytics, 1 Hour, Consumption",16.331
"Microsoft Defender for PostgreSQL, Standard Trial, Advanced Threat Protection, Security, 1/Month, Consumption",0.0
"Azure Cosmos DB Dedicated Gateway - Memory Optimized, E8s, Azure Cosmos DB, Databases, 1 Hour, Consumption",1.14
"Azure Data Lake Storage Gen2 Flat Namespace, Hot RA-GZRS, Storage, Storage, 1 GB/Month, Consumption",0.0529
"Azure Data Lake Storage Gen2 Flat Namespace, Hot RA-GZRS, Storage, Storage, 1 GB/Month, Consumption",0.0575
"Azure Data Lake Storage Gen2 Flat Namespace, Hot RA-GZRS, Storage, Storage, 1 GB/Month, Consumption",0.0552
"Standard HDD Managed Disks, S50 LRS, Storage, Storage, 1/Month, Consumption",163.84
"Azure Synapse Analytics Pipelines, Azure Hosted IR, Azure Synapse Analytics, Analytics, 1 Hour, Consumption",0.25
"Azure Data Lake Storage Gen2 Flat Namespace, Cold GZRS, Storage, Storage, 10K, Consumption, Cold",0.0052
"Azure Data Lake Storage Gen2 Flat Namespace, Archive LRS, Storage, Storage, 1 GB, Consumption",0.13
"Premium Block Blob, Premium ZRS, Storage, Storage, 1 GB/Month, Consumption",0.259
"Azure Synapse SSIS Standard D-series v2 VM, D4 v2, Azure Synapse Analytics, Analytics, 1 Hour, Consumption",2.397
"Tables, Account Encrypted GZRS, Storage, Storage, 1 GB/Month, Consumption",0.12713
"API Management, Premium v2, API Management, Developer Tools, 1 Hour, Consumption, Premium v2",3.83562
"Azure Database for MySQL Flexible Server Burstable BS Series Compute, Standard_B20ms, Azure Database for MySQL, Databases, 1 Hour, Consumption, B20MS",1.592
"Premium Page Blob, Snapshots LRS, Storage, Storage, 1 GB/Month, Consumption",0.145
"SQL Database Single Premium RS, PRS6 Secondary Active, SQL Database, Databases, 1/Day, Consumption",30.0
"General Block Blob v2 Hierarchical Namespace, Cold ZRS, Storage, Storage, 1 GB, Consumption, Cold",0.03
"Azure Cosmos DB autoscale, AP2, Azure Cosmos DB, Databases, 1/Hour, Consumption",0.16
"Az DB for MySQL Flexible Server Storage, PMD LRS, Azure Database for MySQL, Databases, 1 GB/Month, Consumption, PMD",78.0
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Cold RA-GZRS, Storage, Storage, 1 GB, Consumption, Cold",0.0026
"Azure Cosmos DB - PITR, Backup, Azure Cosmos DB, Databases, 1 GB, Consumption",0.15
"Azure Databricks, Standard SQL Analytics, Azure Databricks, Analytics, 1 Hour, Consumption",0.22
"Standard Page Blob v2, Standard RA-GZRS, Storage, Storage, 1 GB/Month, Consumption",0.126562
"General Block Blob v2 Hierarchical Namespace, Hot GRS, Storage, Storage, 1 GB/Month, Consumption",0.056
"Standard SSD Managed Disks, E2 LRS, Storage, Storage, 1/Month, Consumption",0.6
"API Management, Basic, API Management, Developer Tools, 1 Hour, Consumption",0.2016
"API Management, Consumption, API Management, Developer Tools, 10K, Consumption",0.0
"API Management, Consumption, API Management, Developer Tools, 10K, Consumption",0.035
"Azure Data Lake Storage Gen2 Flat Namespace, Cold ZRS, Storage, Storage, 1/Month, Consumption, Cold",1.3
"General Block Blob v2 Hierarchical Namespace, Cool ZRS, Storage, Storage, 1M, Consumption",0.00351
"SQL Data Warehouse Compute Optimized Gen1, DWU100, SQL Data Warehouse, Databases, 1/Hour, Consumption",0.0
"General Block Blob v2 Hierarchical Namespace, Cold LRS, Storage, Storage, 1 GB, Consumption, Cold",0.03
"Standard Page Blob v2, Standard RA-GRS, Storage, Storage, 1 GB/Month, Consumption",0.075
"Azure Cosmos DB Materialized Views, MV Builder D64s, Azure Cosmos DB, Databases, 1 Hour, Consumption, Azure Cosmos DB Materialized Views Builder D64s",7.4176
"Azure Data Lake Storage Gen2 Flat Namespace, Cold RA-GZRS, Storage, Storage, 1 GB, Consumption, Cold",0.005
"General Block Blob v2, Cold LRS, Storage, Storage, 1M, Consumption, Cold",0.0325
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Archive ZRS, Storage, Storage, 1 GB, Consumption",0.0028
"General Block Blob v2 Hierarchical Namespace, Cold ZRS, Storage, Storage, 1/Month, Consumption, Cold",1.3
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 2 vCore, SQL Database, Databases, 1 Hour, Consumption",0.792
"Azure Data Lake Storage Gen2 Flat Namespace, Cool LRS, Storage, Storage, 1 GB, Consumption",0.00113
"Azure Data Lake Storage Gen2 Flat Namespace, Cool GRS, Storage, Storage, 1 GB, Consumption",0.00113
"Azure Data Lake Storage Gen2 Flat Namespace, Cool RA-GZRS, Storage, Storage, 1 GB, Consumption",0.00113
"Azure Data Lake Storage Gen2 Flat Namespace, Cool GZRS, Storage, Storage, 1 GB, Consumption",0.00113
"Azure Data Lake Storage Gen2 Flat Namespace, Cool RA-GRS, Storage, Storage, 1 GB, Consumption",0.00113
"Azure Data Lake Storage Gen2 Flat Namespace, Cool ZRS, Storage, Storage, 1 GB, Consumption",0.00113
"Queues v2, Standard GRS, Storage, Storage, 1 GB/Month, Consumption",0.0598
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Hot ZRS, Storage, Storage, 10K, Consumption",0.0878
"General Block Blob v2 Hierarchical Namespace, Hot GZRS, Storage, Storage, 10K, Consumption",0.306
"General Block Blob v2, Hot LRS, Storage, Storage, 1M, Consumption",0.0027
"General Block Blob, Standard LRS, Storage, Storage, 10K, Consumption",0.00036
"General Block Blob, Standard ZRS, Storage, Storage, 10K, Consumption",0.00036
"General Block Blob v2 Hierarchical Namespace, Cool RA-GRS, Storage, Storage, 100, Consumption",0.26
"General Block Blob v2 Hierarchical Namespace, Cool GRS, Storage, Storage, 100, Consumption",0.26
"General Block Blob v2, Hot GZRS, Storage, Storage, 1M, Consumption",0.0027
"Premium Functions, Premium, Functions, Compute, 1 Hour, Consumption",0.169
"Log Analytics, Free, Log Analytics, Management and Governance, 1 GB, Consumption",0.0
"Azure App Service Premium v3 Plan, P0v3, Azure App Service, Compute, 1 Hour, Consumption, Standard_P0_v3_Windows",0.215
"Azure App Service Premium v3 Plan, P0v3, Azure App Service, Compute, 1 Hour, Reservation, Standard_P0_v3_Windows, 1 Year",1365.0
"Azure App Service Premium v3 Plan, P0v3, Azure App Service, Compute, 1 Hour, DevTestConsumption, Standard_P0_v3_Windows",0.0771
"Azure App Service Premium v3 Plan, P0v3, Azure App Service, Compute, 1 Hour, Reservation, Standard_P0_v3_Windows, 3 Years",3207.0
"Azure Synapse SSIS Standard D-series v3 VM, D2 v3, Azure Synapse Analytics, Analytics, 1 Hour, Consumption",0.68
"General Block Blob v2 Hierarchical Namespace, Cold RA-GRS, Storage, Storage, 10K, Consumption, Cold",0.0
"General Block Blob v2 Hierarchical Namespace, Cold ZRS, Storage, Storage, 10K, Consumption, Cold",0.26
"Files v2, Standard ZRS, Storage, Storage, 10K, Consumption",0.0
"Azure Data Lake Storage Gen2 Flat Namespace, Archive LRS, Storage, Storage, 10K, Consumption",0.12
"Azure Databricks, Premium Jobs Compute Photon, Azure Databricks, Analytics, 1 Hour, Consumption",0.3
"Azure Data Lake Storage Gen2 Flat Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.0188
"Azure Data Lake Storage Gen2 Flat Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.0196
"Azure Data Lake Storage Gen2 Flat Namespace, Hot LRS, Storage, Storage, 1 GB/Month, Consumption",0.018
"General Block Blob v2 Hierarchical Namespace, Cold RA-GZRS, Storage, Storage, 10K, Consumption, Cold",0.13
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Archive GRS, Storage, Storage, 1 GB, Consumption",0.13
"Azure Analysis Services Standard v2, S8 v2, Azure Analysis Services, Analytics, 1 Hour, Consumption",16.44
