_info,unitPrice
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.688306
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",8.037096
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.688306
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.679032
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 10 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.34879
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",13.39516
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.339516
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",26.79032
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.009274
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.69758
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",5.358064
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.009274
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.669758
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",8.037096
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",16.074192
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",10.716128
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.018548
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",5.358064
"SQL Database SingleDB Hyperscale - LTR Backup Storage, Backup ZRS, Backup ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0372
"SQL Database Single Standard, S2 Secondary, S2 Secondary DTUs, SQL Database, Databases, 1/Day, Consumption",1.81
"SQL Database Single Premium, P15 Secondary Active, P15 Secondary Active DTU, SQL Database, Databases, 1/Day, Consumption",516.128
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.375
"SQL Database Single General Purpose - Serverless - Compute Gen5, 32 vCore, 32 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database Single Premium, P2, P2 DTU, SQL Database, Databases, 1/Day, Consumption",30.0
"SQL Database Single Premium, P11, P11 DTU, SQL Database, Databases, 1/Day, Consumption",225.81
"SQL Database Single Standard, S0 Secondary, S0 Secondary DTUs, SQL Database, Databases, 1/Day, Consumption",0.365
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.166
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
